Date,P,D,E,CPI,Fraction,Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Real_Scaled_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Monthly_Total_Returns,Real_Total_Returns,Annualized_Stock_Real_Return_10Y,Annualized_Bonds_Real_Return_10Y,Real_Excess_Annualized_Returns_10Y
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,128.25,8.83,167.69,11.77,15.39,,,,1.01,1.39,9.07%,8.95%,0.12%
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,126.39,8.98,166.24,11.83,15.56,,,,1.01,1.43,9.35%,8.90%,0.45%
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,125.96,9.06,166.67,11.79,15.6,,,,1.01,1.47,9.59%,8.94%,0.65%
1875.07,4.39,0.31,0.4,11.13,1875.54,4.83,126.25,8.99,168.04,11.55,15.38,,,,1.01,1.48,9.83%,8.77%,1.05%
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,125.75,8.84,168.35,11.21,15.01,,,,1.01,1.48,10.46%,8.83%,1.63%
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,125.67,8.84,169.24,11.07,14.91,,,,1.01,1.5,10.44%,8.83%,1.61%
1875.1,4.3,0.31,0.38,11.13,1875.79,4.71,123.66,8.77,167.51,10.83,14.67,,,,1.01,1.51,11.23%,8.80%,2.43%
1875.11,4.37,0.3,0.37,11.04,1875.88,4.67,126.76,8.77,172.7,10.68,14.55,,,,1.01,1.53,11.50%,8.54%,2.96%
1875.12,4.37,0.3,0.36,10.94,1875.96,4.63,127.86,8.78,175.2,10.53,14.43,,,,1.01,1.56,11.04%,8.16%,2.88%
1876.01,4.46,0.3,0.35,10.85,1876.04,4.59,131.64,8.85,181.38,10.43,14.37,,,,1.0,1.58,10.95%,8.28%,2.67%
1876.02,4.52,0.3,0.35,10.85,1876.13,4.58,133.41,8.85,184.84,10.23,14.18,,,,1.0,1.59,11.00%,8.25%,2.75%
1876.03,4.51,0.3,0.34,10.85,1876.21,4.57,133.11,8.85,185.45,10.04,13.98,,,,1.0,1.6,10.90%,8.35%,2.55%
1876.04,4.34,0.3,0.33,10.75,1876.29,4.56,129.23,8.93,181.08,9.92,13.91,,,,1.0,1.62,11.19%,8.35%,2.84%
1876.05,4.18,0.3,0.33,10.37,1876.38,4.54,129.03,9.26,181.88,10.08,14.22,,,,1.0,1.69,11.24%,8.20%,3.04%
1876.06,4.15,0.3,0.32,10.09,1876.46,4.53,131.73,9.52,186.81,10.16,14.4,,,,1.0,1.74,11.62%,8.00%,3.62%
1876.07,4.1,0.3,0.31,10.09,1876.54,4.52,130.15,9.52,185.68,9.95,14.19,,,,1.0,1.75,11.76%,7.83%,3.93%
1876.08,3.93,0.3,0.31,10.18,1876.62,4.51,123.58,9.43,177.44,9.64,13.85,,,,1.0,1.74,12.25%,7.77%,4.48%
1876.09,3.69,0.3,0.3,10.28,1876.71,4.5,114.96,9.35,166.18,9.35,13.51,,,,1.0,1.74,13.32%,7.84%,5.48%
1876.1,3.67,0.3,0.29,10.47,1876.79,4.49,112.26,9.18,163.38,8.97,13.06,,,,1.0,1.71,13.84%,8.01%,5.83%
1876.11,3.6,0.3,0.29,10.56,1876.87,4.47,109.13,9.09,159.92,8.69,12.74,,,,1.0,1.71,14.39%,8.07%,6.32%
1876.12,3.58,0.3,0.28,10.75,1876.96,4.46,106.6,8.93,157.31,8.34,12.3,,,,1.0,1.68,14.18%,8.10%,6.08%
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,103.87,8.51,154.33,8.24,12.25,,,,1.0,1.66,14.04%,8.00%,6.04%
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,100.34,8.46,150.14,8.51,12.73,,,,1.0,1.71,14.18%,7.56%,6.61%
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,99.68,8.57,150.22,8.96,13.51,,,,1.0,1.8,14.47%,7.05%,7.43%
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,89.93,8.05,136.53,8.77,13.31,,,,1.0,1.76,15.87%,7.32%,8.56%
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,88.32,7.64,135.06,8.66,13.24,,,,1.0,1.74,16.23%,7.48%,8.75%
1877.06,2.73,0.25,0.29,10.09,1877.46,4.4,86.66,7.78,133.5,9.21,14.18,,,,1.0,1.84,16.21%,6.99%,9.21%
1877.07,2.85,0.24,0.29,10.18,1877.54,4.4,89.62,7.42,139.02,9.17,14.23,,,,1.0,1.83,15.63%,7.20%,8.43%
1877.08,3.05,0.23,0.29,9.8,1877.62,4.39,99.64,7.41,155.51,9.58,14.95,,,,1.0,1.91,13.96%,6.63%,7.32%
1877.09,3.24,0.22,0.3,9.7,1877.71,4.38,106.88,7.17,167.75,9.73,15.27,,,,1.0,1.94,13.13%,6.63%,6.50%
1877.1,3.31,0.21,0.3,9.7,1877.79,4.37,109.19,6.87,172.28,9.79,15.44,,,,1.0,1.95,12.35%,6.48%,5.87%
1877.11,3.26,0.2,0.3,9.51,1877.87,4.36,109.69,6.7,173.95,10.04,15.92,,,,1.0,2.0,12.37%,6.12%,6.25%
1877.12,3.25,0.19,0.3,9.51,1877.96,4.35,109.35,6.39,174.26,10.09,16.09,,,,1.0,2.0,12.07%,5.85%,6.22%
1878.01,3.25,0.19,0.3,9.23,1878.04,4.34,112.74,6.56,180.52,10.43,16.71,,,,1.0,2.08,11.67%,5.38%,6.30%
1878.02,3.18,0.19,0.3,9.13,1878.12,4.33,111.46,6.6,179.35,10.57,17.02,,,,1.0,2.11,11.85%,5.39%,6.46%
1878.03,3.24,0.19,0.3,8.94,1878.21,4.32,115.98,6.71,187.53,10.83,17.51,,,,1.0,2.16,10.97%,5.17%,5.80%
1878.04,3.33,0.19,0.3,8.85,1878.29,4.31,120.48,6.75,195.72,10.97,17.83,,,,1.0,2.19,10.71%,5.18%,5.53%
1878.05,3.34,0.19,0.3,8.56,1878.37,4.3,124.87,6.95,203.79,11.37,18.56,,,,1.0,2.28,10.59%,4.96%,5.63%
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,130.38,7.07,213.75,11.66,19.12,,,,1.0,2.34,9.89%,4.85%,5.04%
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,131.57,6.96,216.64,11.56,19.04,,,,1.0,2.32,9.94%,4.85%,5.09%
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,128.98,6.85,213.33,11.47,18.96,,,,1.0,2.31,10.38%,4.97%,5.42%
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,131.6,6.82,218.59,11.5,19.1,,,,1.0,2.32,10.42%,4.97%,5.46%
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,131.57,6.87,219.49,11.66,19.45,,,,1.0,2.35,10.23%,4.73%,5.50%
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,132.68,6.91,222.31,11.82,19.81,,,,1.0,2.39,9.77%,4.49%,5.28%
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,134.98,7.04,227.15,12.13,20.41,,,,1.0,2.46,9.37%,4.25%,5.11%
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,138.46,7.03,233.98,12.21,20.64,,,,1.0,2.44,9.68%,4.74%,4.94%
1879.02,3.71,0.18,0.32,8.37,1879.12,4.2,141.85,7.01,240.71,12.3,20.87,,,,1.0,2.42,9.66%,4.97%,4.69%
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,141.16,7.15,240.55,12.67,21.58,,,,1.0,2.46,9.61%,4.96%,4.66%
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,147.5,7.3,252.39,13.04,22.31,,,,1.0,2.5,9.10%,4.82%,4.29%
